CV Index 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vuln Index 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recruitment index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Recruitment index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modal length (Lc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean length above Lc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catch-at-Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vuln CAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catch-at-Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vuln CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL_mids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current stock depletion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV current stock depletion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current stock abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV current stock abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current spawning abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV current spawning abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMSY/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV FMSY/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY/B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV BMSY/B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catch Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Catch Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Biomass Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Index Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average catch over time t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Average catch over time t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depletion over time t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Depletion over time t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference OFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference OFL type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
